run,split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
hs128_lb1_V8192_ep15_lr0.001,Train,0.7920888648062856,0.2860061287027579,0.8036739380022963,0.7908813498469509,0.421877354226307,0.54080464738347,0.884083081410258
hs128_lb1_V8192_ep15_lr0.001,Val,0.7259323503902863,0.1228978007761966,0.2602739726027397,0.7808661926283748,0.1669595782073813,0.1312701121391642,0.5853211252888931
hs128_lb1_V8192_ep15_lr0.001,Test,0.7684301821335646,0.1115702479338843,0.3417721518987341,0.7998137802532607,0.1682242990654205,0.0984878106338705,0.6031869504749783
hs128_lb1_V8192_ep15_lr0.001,Null Train,0.7305337306962882,0.0956195244055068,0.2192881745120551,0.7838209776815749,0.1331706466794492,0.0967902708274454,0.5052641601239484
hs128_lb1_V8192_ep15_lr0.001,Null Val,0.719572130673605,0.1126760563380281,0.2410958904109589,0.7760180995450032,0.1535776614310645,0.1178366434026211,0.5349182244025112
hs128_lb1_V8192_ep15_lr0.001,Null Test,0.8013876843018214,0.0738636363636363,0.1645569620253164,0.8482309124688248,0.1019607843137254,0.0802335252832728,0.5282629705584235
hs128_lb1_V8193_ep15_lr0.001,Train,0.8030885938769982,0.3072212837837837,0.8047566371681416,0.8029074307678242,0.444682151589242,0.5783779335435503,0.8897034784231234
hs128_lb1_V8193_ep15_lr0.001,Val,0.6718704827984967,0.1597573306370071,0.341991341991342,0.7227227227203112,0.2177808407994486,0.155324347433659,0.5609837832060054
hs128_lb1_V8193_ep15_lr0.001,Test,0.8117953165654813,0.0558659217877094,0.1724137931034483,0.8456621004488981,0.0843881856540084,0.0666393137278101,0.6112580695953393
hs128_lb1_V8193_ep15_lr0.001,Null Train,0.7318883771335681,0.0909327774882751,0.1930309734513274,0.7904126869701505,0.1236273467941905,0.0944265969301092,0.4903310629994721
hs128_lb1_V8193_ep15_lr0.001,Null Val,0.6871928302977739,0.1200980392156862,0.2121212121212121,0.7604270937578899,0.1533646322378716,0.1296999403700086,0.5002267780045558
hs128_lb1_V8193_ep15_lr0.001,Null Test,0.7970511708586296,0.0416666666666666,0.1379310344827586,0.831963470312037,0.064,0.0623926109182936,0.5001102188631712
hs128_lb1_V8195_ep15_lr0.001,Train,0.8558656190734218,0.3378456221198156,0.7646675358539765,0.8641333254530676,0.4686376348381941,0.5890828110585157,0.9020839961329614
hs128_lb1_V8195_ep15_lr0.001,Val,0.7791269152934374,0.0994940978077571,0.2041522491349481,0.831545741322298,0.1337868480725623,0.099704097831779,0.578778121009027
hs128_lb1_V8195_ep15_lr0.001,Test,0.808326105810928,0.0894736842105263,0.2615384615384615,0.8409926470510939,0.1333333333333333,0.0906288127664697,0.5869768099547512
hs128_lb1_V8195_ep15_lr0.001,Null Train,0.7961528041181252,0.081203007518797,0.1408083441981747,0.8555640919562345,0.1030042918454935,0.0834186472713251,0.5017725018178271
hs128_lb1_V8195_ep15_lr0.001,Null Val,0.778259612604799,0.0747330960854092,0.1453287197231834,0.835962145107773,0.0987074030552291,0.0858648789690146,0.4888831279403578
hs128_lb1_V8195_ep15_lr0.001,Null Test,0.839549002601908,0.0588235294117647,0.123076923076923,0.8823529411683608,0.0796019900497512,0.0580414209304544,0.4756363122171946
hs128_lb1_V8207_ep15_lr0.001,Train,0.7620157138986724,0.3321629213483146,0.7629032258064516,0.7618779342718235,0.4628180039138943,0.527618785369165,0.8518756120955122
hs128_lb1_V8207_ep15_lr0.001,Val,0.6710031801098584,0.2080291970802919,0.4578313253012048,0.7068557919597878,0.2860727728983689,0.194714737023323,0.6361847253926208
hs128_lb1_V8207_ep15_lr0.001,Test,0.7545533391153513,0.1468253968253968,0.3523809523809524,0.7948473282366905,0.2072829131652661,0.1284586630581864,0.6203289712831698
hs128_lb1_V8207_ep15_lr0.001,Null Train,0.6708751015984828,0.1290255986787778,0.252016129032258,0.7358998435050166,0.1706717640633533,0.1337920293561716,0.4972588469887424
hs128_lb1_V8207_ep15_lr0.001,Null Val,0.6406475860075166,0.1560480147737765,0.3393574297188755,0.6913204998288034,0.2137887413029728,0.1579991578820193,0.5195032070192285
hs128_lb1_V8207_ep15_lr0.001,Null Test,0.6973113616652211,0.0642857142857142,0.1714285714285714,0.7499999999928436,0.0935064935064935,0.0822905928015138,0.4664576517629953
hs128_lb1_V8208_ep15_lr0.001,Train,0.8560823625033867,0.3854282536151279,0.7565502183406113,0.8670516753889989,0.5106853352984525,0.631137359067304,0.8989862391430614
hs128_lb1_V8208_ep15_lr0.001,Val,0.7895345475570974,0.0891472868217054,0.1513157894736842,0.8510301109323264,0.1121951219512195,0.0997375728776157,0.546143339728084
hs128_lb1_V8208_ep15_lr0.001,Test,0.7701647875108413,0.0761904761904762,0.1839080459770115,0.8180112570279737,0.1077441077441077,0.0905977538550854,0.5362403226154278
hs128_lb1_V8208_ep15_lr0.001,Null Train,0.7761582227038742,0.0936726758571933,0.144650655021834,0.8457558804061567,0.1137095043981978,0.0993957457517017,0.4986598840928298
hs128_lb1_V8208_ep15_lr0.001,Null Val,0.7825961260479908,0.0927272727272727,0.1677631578947368,0.8418383518198357,0.1194379391100702,0.1027892345301171,0.5106701976812078
hs128_lb1_V8208_ep15_lr0.001,Null Test,0.8169991326973114,0.0633802816901408,0.1034482758620689,0.8752345215677746,0.0786026200873362,0.0751425789987703,0.4964848720105238
hs128_lb1_V8209_ep15_lr0.001,Train,0.8176645895421295,0.3798024149286498,0.762114537444934,0.8254556688286527,0.5069597069597069,0.6078792396041428,0.8858104733403284
hs128_lb1_V8209_ep15_lr0.001,Val,0.739230991616074,0.1589595375722543,0.2558139534883721,0.8078573786701623,0.196078431372549,0.157480477405026,0.6062577257057744
hs128_lb1_V8209_ep15_lr0.001,Test,0.7961838681699913,0.0722222222222222,0.1604938271604938,0.8442164179025727,0.0996168582375478,0.0892970956935879,0.6087502303298322
hs128_lb1_V8209_ep15_lr0.001,Null Train,0.710430777567055,0.1193660227835562,0.2123348017621145,0.7802903923381029,0.1528218135700697,0.1209586601537086,0.4952812946125403
hs128_lb1_V8209_ep15_lr0.001,Null Val,0.6712922810060711,0.1290661070304302,0.2860465116279069,0.7259821723317069,0.1778741865509761,0.1292115482159327,0.5224888097230647
hs128_lb1_V8209_ep15_lr0.001,Null Test,0.738074588031223,0.0700389105058365,0.2222222222222222,0.7770522387987217,0.1065088757396449,0.079452504204126,0.5516169154228856
hs128_lb1_V8210_ep15_lr0.001,Train,0.820590625846654,0.3598484848484848,0.786653677545056,0.8248384343367731,0.4938082861947714,0.623069490765923,0.8934457608647038
hs128_lb1_V8210_ep15_lr0.001,Val,0.7681410812373518,0.1412337662337662,0.2416666666666666,0.8292997741180081,0.1782786885245901,0.1287175330708511,0.5689783442687605
hs128_lb1_V8210_ep15_lr0.001,Test,0.7623590633130962,0.0869565217391304,0.174757281553398,0.8199999999921905,0.1161290322580645,0.105332408439298,0.5977068885806751
hs128_lb1_V8210_ep15_lr0.001,Null Train,0.7463560010837171,0.1105512744516893,0.1816853385289819,0.8170345079863327,0.1374608439285056,0.1107199366616739,0.4974316154166746
hs128_lb1_V8210_ep15_lr0.001,Null Val,0.7872217403873952,0.1083333333333333,0.1444444444444444,0.8618909325561088,0.1238095238095238,0.1093525082771323,0.5222114660643218
hs128_lb1_V8210_ep15_lr0.001,Null Test,0.790112749349523,0.0935672514619883,0.1553398058252427,0.8523809523728345,0.1167883211678832,0.0929974416929576,0.5112436430883033
hs128_lb1_V8211_ep15_lr0.001,Train,0.7922514223787591,0.2642842302098483,0.8127795527156549,0.7903493191232739,0.3988711194731891,0.5033984650393015,0.8859399572879958
hs128_lb1_V8211_ep15_lr0.001,Val,0.7155247181266262,0.0733333333333333,0.3055555555555556,0.7428307123011322,0.1182795698924731,0.0744629275088585,0.5875618140496339
hs128_lb1_V8211_ep15_lr0.001,Test,0.7649609713790113,0.0708333333333333,0.2615384615384615,0.7950367646985751,0.1114754098360655,0.0741044398232488,0.5951216063348416
hs128_lb1_V8211_ep15_lr0.001,Null Train,0.7314548902736385,0.0851480303401027,0.2223642172523961,0.7786264061570286,0.1231422505307855,0.0866264074288465,0.5009868591544233
hs128_lb1_V8211_ep15_lr0.001,Null Val,0.7817288233593525,0.057471264367816,0.162037037037037,0.823003391918523,0.0848484848484848,0.0661827362826993,0.5276792750197005
hs128_lb1_V8211_ep15_lr0.001,Null Test,0.8143972246313964,0.0484848484848484,0.123076923076923,0.8556985294038999,0.0695652173913043,0.0722190770221682,0.5297369909502263
hs128_lb1_V8212_ep15_lr0.001,Train,0.8136548360877811,0.2135945815191098,0.8244631185807656,0.812988955360784,0.3392891450528338,0.4791576906344193,0.9086607107945188
